input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1439199539.602	173269	0	0	0	q	q	qslpag	 42.74	 162.48	qslpag	Random	0	0	1.00
1439199539.852	173269	0	1	250	s	s	qslpag	 42.74	 162.48	qslpag	Random	250	0	1.00
1439199540.039	173269	0	2	187	l	l	qslpag	 42.74	 162.48	qslpag	Random	437	0	1.00
1439199540.289	173269	0	3	250	p	p	qslpag	 42.74	 162.48	qslpag	Random	687	0	1.00
1439199540.445	173269	0	4	155	a	a	qslpag	 42.74	 162.48	qslpag	Random	842	0	1.00
1439199541.006	173269	0	5	562	g	g	qslpag	 42.74	 162.48	qslpag	Random	1404	0	1.00
1439199543.658	173269	1	0	0	a	a	aekbru	 42.74	 109.96	aekbru	Random	0	0	1.00
1439199544.126	173269	1	1	467	e	e	aekbru	 42.74	 109.96	aekbru	Random	467	0	1.00
1439199544.313	173269	1	2	187	k	k	aekbru	 42.74	 109.96	aekbru	Random	654	0	1.00
1439199544.563	173269	1	3	250	b	b	aekbru	 42.74	 109.96	aekbru	Random	904	0	1.00
1439199544.844	173269	1	4	282	r	r	aekbru	 42.74	 109.96	aekbru	Random	1186	0	1.00
1439199545.062	173269	1	5	218	u	u	aekbru	 42.74	 109.96	aekbru	Random	1404	0	1.00
1439199548.182	173269	2	0	0	z	z	zjjrwa	 41.81	 143.78	zjjrwa	Random	0	0	1.00
1439199548.588	173269	2	1	406	j	j	zjjrwa	 41.81	 143.78	zjjrwa	Random	406	0	1.00
1439199548.713	173269	2	2	125	j	j	zjjrwa	 41.81	 143.78	zjjrwa	Random	531	0	1.00
1439199549.181	173269	2	3	468	r	r	zjjrwa	 41.81	 143.78	zjjrwa	Random	999	0	1.00
1439199549.399	173269	2	4	218	w	w	zjjrwa	 41.81	 143.78	zjjrwa	Random	1217	0	1.00
1439199549.617	173269	2	5	218	a	a	zjjrwa	 41.81	 143.78	zjjrwa	Random	1435	0	1.00
1439199551.926	173269	3	0	0	u	u	uchedt	 62.11	  88.77	uchedt	Random	0	0	1.00
1439199552.051	173269	3	1	125	c	c	uchedt	 62.11	  88.77	uchedt	Random	125	0	1.00
1439199552.176	173269	3	2	125	h	h	uchedt	 62.11	  88.77	uchedt	Random	250	0	1.00
1439199552.519	173269	3	3	342	e	e	uchedt	 62.11	  88.77	uchedt	Random	592	0	1.00
1439199552.706	173269	3	4	187	d	d	uchedt	 62.11	  88.77	uchedt	Random	779	0	1.00
1439199552.893	173269	3	5	187	t	t	uchedt	 62.11	  88.77	uchedt	Random	966	0	1.00
1439199555.171	173269	4	0	0	v	v	varawz	 53.48	  67.54	varawz	Random	0	0	1.00
1439199555.358	173269	4	1	187	a	a	varawz	 53.48	  67.54	varawz	Random	187	0	1.00
1439199555.639	173269	4	2	280	r	r	varawz	 53.48	  67.54	varawz	Random	467	0	1.00
1439199555.764	173269	4	3	125	a	a	varawz	 53.48	  67.54	varawz	Random	592	0	1.00
1439199556.045	173269	4	4	282	w	w	varawz	 53.48	  67.54	varawz	Random	874	0	1.00
