input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1437126859.263	301816	0	0	0	Shift_R	Shift_R	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	0	0	0.59
1437126859.419	301816	0	1	155	M	M	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	155	0	0.59
1437126859.638	301816	0	2	220	i	i	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	375	0	0.59
1437126859.887	301816	0	3	249	t	t	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	624	0	0.59
1437126860.012	301816	0	4	125	ä	adiaeresis	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	749	0	0.59
1437126860.199	301816	0	5	186	_	space	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	935	0	0.59
1437126860.449	301816	0	6	250	i	i	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	1185	0	0.59
1437126860.574	301816	0	7	125	n	n	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	1310	0	0.59
1437126860.917	301816	0	8	344		BackSpace	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	1654	0	0.59
1437126861.042	301816	0	9	125		BackSpace	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	1779	0	0.59
1437126861.291	301816	0	10	248	s	s	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	2027	0	0.59
1437126861.603	301816	0	11	312	o	o	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	2339	0	0.59
1437126862.321	301816	0	12	719		BackSpace	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	3058	0	0.59
1437126862.664	301816	0	13	343	i	i	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	3401	0	0.59
1437126862.727	301816	0	14	62	n	n	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	3463	0	0.59
1437126862.914	301816	0	15	188	'	quoteright	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	3651	0	0.59
1437126862.914	301816	0	16	0	ä	adiaeresis	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	3651	0	0.59
1437126863.538	301816	0	17	624		BackSpace	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	4275	0	0.59
1437126863.725	301816	0	18	186		BackSpace	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	4461	0	0.59
1437126864.287	301816	0	19	562	ä	adiaeresis	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	5023	0	0.59
1437126864.474	301816	0	20	187	_	space	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	5210	0	0.59
1437126864.63	301816	0	21	157	k	k	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	5367	0	0.59
1437126864.817	301816	0	22	186	u	u	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	5553	0	0.59
1437126864.942	301816	0	23	125	u	u	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	5678	0	0.59
1437126865.098	301816	0	24	157	l	l	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	5835	0	0.59
1437126865.223	301816	0	25	125	e	e	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	5960	0	0.59
1437126865.41	301816	0	26	187	t	t	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	6147	0	0.59
1437126865.566	301816	0	27	155	Shift_R	Shift_R	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	6302	0	0.59
1437126865.784	301816	0	28	218	?	question	Mitä sinä kuulet?	 29.45	 158.28	Mitä sinä kuulet?	Sentences	6520	0	0.59
1437126867.048	301816	1	0	0	Shift_R	Shift_R	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	0	0	0.71
1437126867.266	301816	1	1	217	M	M	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	217	0	0.71
1437126867.391	301816	1	2	125	i	i	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	342	0	0.71
1437126867.578	301816	1	3	187	k	k	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	529	0	0.71
1437126867.703	301816	1	4	125	ä	adiaeresis	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	654	0	0.71
1437126867.89	301816	1	5	188	_	space	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	842	0	0.71
1437126868.14	301816	1	6	250	p	p	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	1092	0	0.71
1437126868.233	301816	1	7	92	n	n	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	1184	0	0.71
1437126868.545	301816	1	8	312		BackSpace	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	1496	0	0.71
1437126868.701	301816	1	9	156		BackSpace	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	1652	0	0.71
1437126869.138	301816	1	10	437	o	o	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	2089	0	0.71
1437126869.232	301816	1	11	95	n	n	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	2184	0	0.71
1437126869.325	301816	1	12	92	_	space	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	2276	0	0.71
1437126869.45	301816	1	13	125	v	v	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	2401	0	0.71
1437126869.544	301816	1	14	94	i	i	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	2495	0	0.71
1437126869.637	301816	1	15	93	a	a	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	2588	0	0.71
1437126869.793	301816	1	16	156	l	l	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	2744	0	0.71
1437126869.918	301816	1	17	125	l	l	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	2869	0	0.71
1437126870.012	301816	1	18	94	a	a	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	2963	0	0.71
1437126870.261	301816	1	19	249	Shift_R	Shift_R	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	3212	0	0.71
1437126870.636	301816	1	20	375	?	question	Mikä on vialla?	 46.84	 100.25	Mikä on vialla?	Sentences	3587	0	0.71
1437126871.681	301816	2	0	0	Shift_R	Shift_R	Kiitos, hyvää työtä.	 42.12	 160.60	Kiitos, hyvää työtä.	Sentences	0	0	0.95
1437126871.962	301816	2	1	280	K	K	Kiitos, hyvää työtä.	 42.12	 160.60	Kiitos, hyvää työtä.	Sentences	280	0	0.95
1437126872.149	301816	2	2	187	i	i	Kiitos, hyvää työtä.	 42.12	 160.60	Kiitos, hyvää työtä.	Sentences	467	0	0.95
1437126872.305	301816	2	3	157	i	i	Kiitos, hyvää työtä.	 42.12	 160.60	Kiitos, hyvää työtä.	Sentences	624	0	0.95
1437126872.523	301816	2	4	218	t	t	Kiitos, hyvää työtä.	 42.12	 160.60	Kiitos, hyvää työtä.	Sentences	842	0	0.95
1437126872.711	301816	2	5	187	o	o	Kiitos, hyvää työtä.	 42.12	 160.60	Kiitos, hyvää työtä.	Sentences	1029	0	0.95
1437126872.867	301816	2	6	157	s	s	Kiitos, hyvää työtä.	 42.12	 160.60	Kiitos, hyvää työtä.	Sentences	1186	0	0.95
1437126873.459	301816	2	7	592	,	comma	Kiitos, hyvää työtä.	 42.12	 160.60	Kiitos, hyvää työtä.	Sentences	1778	0	0.95
1437126873.553	301816	2	8	93	_	space	Kiitos, hyvää työtä.	 42.12	 160.60	Kiitos, hyvää työtä.	Sentences	1871	0	0.95
1437126873.896	301816	2	9	343	h	h	Kiitos, hyvää työtä.	 42.12	 160.60	Kiitos, hyvää työtä.	Sentences	2214	0	0.95
1437126874.146	301816	2	10	250	y	y	Kiitos, hyvää työtä.	 42.12	 160.60	Kiitos, hyvää työtä.	Sentences	2464	0	0.95
1437126874.52	301816	2	11	374	v	v	Kiitos, hyvää työtä.	 42.12	 160.60	Kiitos, hyvää työtä.	Sentences	2838	0	0.95
1437126874.614	301816	2	12	95	ä	adiaeresis	Kiitos, hyvää työtä.	 42.12	 160.60	Kiitos, hyvää työtä.	Sentences	2933	0	0.95
1437126874.77	301816	2	13	155	ä	adiaeresis	Kiitos, hyvää työtä.	 42.12	 160.60	Kiitos, hyvää työtä.	Sentences	3088	0	0.95
1437126874.895	301816	2	14	125	_	space	Kiitos, hyvää työtä.	 42.12	 160.60	Kiitos, hyvää työtä.	Sentences	3213	0	0.95
1437126875.503	301816	2	15	609	t	t	Kiitos, hyvää työtä.	 42.12	 160.60	Kiitos, hyvää työtä.	Sentences	3822	0	0.95
1437126875.721	301816	2	16	217	y	y	Kiitos, hyvää työtä.	 42.12	 160.60	Kiitos, hyvää työtä.	Sentences	4039	0	0.95
1437126876.096	301816	2	17	375	ö	odiaeresis	Kiitos, hyvää työtä.	 42.12	 160.60	Kiitos, hyvää työtä.	Sentences	4414	0	0.95
1437126876.595	301816	2	18	500	t	t	Kiitos, hyvää työtä.	 42.12	 160.60	Kiitos, hyvää työtä.	Sentences	4914	0	0.95
