input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1438770863.485	120778	0	0	0	Shift_R	Shift_R	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	0	0	0.78
1438770863.735	120778	0	1	250	V	V	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	250	0	0.78
1438770863.922	120778	0	2	187	o	o	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	437	0	0.78
1438770864.016	120778	0	3	94	i	i	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	531	0	0.78
1438770864.141	120778	0	4	125	t	t	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	656	0	0.78
1438770864.234	120778	0	5	93	k	k	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	749	0	0.78
1438770864.328	120778	0	6	94	o	o	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	843	0	0.78
1438770864.453	120778	0	7	125	_	space	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	968	0	0.78
1438770865.17	120778	0	8	717	y	y	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	1685	0	0.78
1438770865.326	120778	0	9	156	a	a	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	1841	0	0.78
1438770865.545	120778	0	10	219	d	d	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	2060	0	0.78
1438770866.793	120778	0	11	1248	g	g	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	3308	0	0.78
1438770867.011	120778	0	12	218	n	n	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	3526	0	0.78
1438770867.198	120778	0	13	187	v	v	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	3713	0	0.78
1438770867.541	120778	0	14	342	a	a	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	4055	0	0.78
1438770868.009	120778	0	15	469		BackSpace	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	4524	0	0.78
1438770868.165	120778	0	16	156	_	space	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	4680	0	0.78
1438770868.353	120778	0	17	188	a	a	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	4868	0	0.78
1438770868.446	120778	0	18	93	u	u	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	4961	0	0.78
1438770868.633	120778	0	19	187	t	t	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	5148	0	0.78
1438770868.758	120778	0	20	125	t	t	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	5273	0	0.78
1438770868.914	120778	0	21	156	a	a	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	5429	0	0.78
1438770869.07	120778	0	22	156	a	a	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	5585	0	0.78
1438770869.226	120778	0	23	156	Shift_R	Shift_R	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	5741	0	0.78
1438770869.382	120778	0	24	156	?	question	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	5897	0	0.78
1438770869.382	120778	0	25	0	=	equal	Voitko yadgnv auttaa?	 37.34	 255.26	Voitko yadgnv auttaa?	Mix	5897	0	0.78
