input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1439199022.227	173269	0	0	0	Shift_L	Shift_L	WE can have wine and catch up.	 66.79	 105.51	WE can have wine and catch up.	Sentences	0	0	0.97
1439199022.29	173269	0	1	62	W	W	WE can have wine and catch up.	 66.79	 105.51	WE can have wine and catch up.	Sentences	62	0	0.97
1439199022.383	173269	0	2	93	E	E	WE can have wine and catch up.	 66.79	 105.51	WE can have wine and catch up.	Sentences	155	0	0.97
1439199022.664	173269	0	3	282	_	space	WE can have wine and catch up.	 66.79	 105.51	WE can have wine and catch up.	Sentences	437	0	0.97
1439199022.882	173269	0	4	217	c	c	WE can have wine and catch up.	 66.79	 105.51	WE can have wine and catch up.	Sentences	654	0	0.97
1439199022.976	173269	0	5	95	a	a	WE can have wine and catch up.	 66.79	 105.51	WE can have wine and catch up.	Sentences	749	0	0.97
1439199023.163	173269	0	6	187	n	n	WE can have wine and catch up.	 66.79	 105.51	WE can have wine and catch up.	Sentences	936	0	0.97
1439199023.288	173269	0	7	125	_	space	WE can have wine and catch up.	 66.79	 105.51	WE can have wine and catch up.	Sentences	1061	0	0.97
1439199023.475	173269	0	8	186	h	h	WE can have wine and catch up.	 66.79	 105.51	WE can have wine and catch up.	Sentences	1247	0	0.97
1439199023.6	173269	0	9	125	a	a	WE can have wine and catch up.	 66.79	 105.51	WE can have wine and catch up.	Sentences	1372	0	0.97
1439199023.694	173269	0	10	95	v	v	WE can have wine and catch up.	 66.79	 105.51	WE can have wine and catch up.	Sentences	1467	0	0.97
1439199023.881	173269	0	11	187	e	e	WE can have wine and catch up.	 66.79	 105.51	WE can have wine and catch up.	Sentences	1654	0	0.97
1439199023.943	173269	0	12	62	_	space	WE can have wine and catch up.	 66.79	 105.51	WE can have wine and catch up.	Sentences	1716	0	0.97
1439199024.224	173269	0	13	280	w	w	WE can have wine and catch up.	 66.79	 105.51	WE can have wine and catch up.	Sentences	1996	0	0.97
1439199024.349	173269	0	14	125	i	i	WE can have wine and catch up.	 66.79	 105.51	WE can have wine and catch up.	Sentences	2121	0	0.97
1439199024.536	173269	0	15	188	n	n	WE can have wine and catch up.	 66.79	 105.51	WE can have wine and catch up.	Sentences	2309	0	0.97
1439199024.63	173269	0	16	94	e	e	WE can have wine and catch up.	 66.79	 105.51	WE can have wine and catch up.	Sentences	2403	0	0.97
1439199024.723	173269	0	17	93	_	space	WE can have wine and catch up.	 66.79	 105.51	WE can have wine and catch up.	Sentences	2496	0	0.97
1439199024.879	173269	0	18	155	a	a	WE can have wine and catch up.	 66.79	 105.51	WE can have wine and catch up.	Sentences	2651	0	0.97
