input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1439307081.986	270221	0	0	0	q	q	qwcbcr	 29.14	 275.62	qwcbcr	Random	0	0	1.00
1439307082.173	270221	0	1	187	w	w	qwcbcr	 29.14	 275.62	qwcbcr	Random	187	0	1.00
1439307082.704	270221	0	2	530	c	c	qwcbcr	 29.14	 275.62	qwcbcr	Random	717	0	1.00
1439307083.546	270221	0	3	842	b	b	qwcbcr	 29.14	 275.62	qwcbcr	Random	1559	0	1.00
1439307083.827	270221	0	4	281	c	c	qwcbcr	 29.14	 275.62	qwcbcr	Random	1840	0	1.00
1439307084.045	270221	0	5	219	r	r	qwcbcr	 29.14	 275.62	qwcbcr	Random	2059	0	1.00
1439307086.136	270221	1	0	0	j	j	jkaqe	 49.64	 169.32	jkaqe	Random	0	0	1.00
1439307086.198	270221	1	1	62	k	k	jkaqe	 49.64	 169.32	jkaqe	Random	62	0	1.00
1439307086.448	270221	1	2	250	a	a	jkaqe	 49.64	 169.32	jkaqe	Random	312	0	1.00
1439307086.916	270221	1	3	467	q	q	jkaqe	 49.64	 169.32	jkaqe	Random	779	0	1.00
1439307087.103	270221	1	4	188	e	e	jkaqe	 49.64	 169.32	jkaqe	Random	967	0	1.00
1439307089.256	270221	2	0	0	q	q	qslpag	 24.36	 364.61	qslpag	Random	0	0	1.00
1439307089.599	270221	2	1	342	s	s	qslpag	 24.36	 364.61	qslpag	Random	342	0	1.00
1439307089.786	270221	2	2	187	l	l	qslpag	 24.36	 364.61	qslpag	Random	529	0	1.00
1439307090.535	270221	2	3	750	p	p	qslpag	 24.36	 364.61	qslpag	Random	1279	0	1.00
1439307090.722	270221	2	4	186	a	a	qslpag	 24.36	 364.61	qslpag	Random	1465	0	1.00
1439307091.72	270221	2	5	998	g	g	qslpag	 24.36	 364.61	qslpag	Random	2463	0	1.00
1439307094.934	270221	3	0	0	z	z	zfcspx	 46.91	 132.17	zfcspx	Random	0	0	1.00
1439307095.152	270221	3	1	217	f	f	zfcspx	 46.91	 132.17	zfcspx	Random	217	0	1.00
1439307095.34	270221	3	2	188	c	c	zfcspx	 46.91	 132.17	zfcspx	Random	405	0	1.00
