input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1437729588.79	96115	0	0	0	Shift_L	Shift_L	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	0	0	0.96
1437729589.227	96115	0	1	437	E	E	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	437	0	0.96
1437729589.414	96115	0	2	187	i	i	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	624	0	0.96
1437729589.507	96115	0	3	93	_	space	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	717	0	0.96
1437729589.757	96115	0	4	250	o	o	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	967	0	0.96
1437729589.944	96115	0	5	187	l	l	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	1154	0	0.96
1437729590.1	96115	0	6	155	l	l	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	1309	0	0.96
1437729590.381	96115	0	7	282	u	u	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	1591	0	0.96
1437729590.475	96115	0	8	93	t	t	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	1684	0	0.96
1437729590.568	96115	0	9	94	_	space	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	1778	0	0.96
1437729590.818	96115	0	10	250	e	e	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	2028	0	0.96
1437729590.943	96115	0	11	125	d	d	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	2153	0	0.96
1437729591.13	96115	0	12	187	e	e	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	2340	0	0.96
1437729591.379	96115	0	13	248	s	s	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	2588	0	0.96
1437729591.473	96115	0	14	95	_	space	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	2683	0	0.96
1437729591.754	96115	0	15	280	l	l	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	2963	0	0.96
1437729591.847	96115	0	16	93	ä	adiaeresis	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	3056	0	0.96
1437729592.097	96115	0	17	250	h	h	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	3306	0	0.96
1437729592.44	96115	0	18	344	e	e	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	3650	0	0.96
1437729592.534	96115	0	19	93	l	l	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	3743	0	0.96
1437729592.659	96115	0	20	125	l	l	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	3868	0	0.96
1437729592.752	96115	0	21	94	ä	adiaeresis	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	3962	0	0.96
1437729593.314	96115	0	22	561	.	period	Ei ollut edes lähellä.	 55.72	 123.93	Ei ollut edes lähellä.	Sentences	4523	0	0.96
1437729597.089	96115	1	0	0	Shift_L	Shift_L	Lähettäisitkö minulle sähköpostia?	 50.16	 203.92	Lähettäisitkö minulle sähköpostia?	Sentences	0	0	0.94
1437729597.276	96115	1	1	187	L	L	Lähettäisitkö minulle sähköpostia?	 50.16	 203.92	Lähettäisitkö minulle sähköpostia?	Sentences	187	0	0.94
1437729598.368	96115	1	2	1092	ä	adiaeresis	Lähettäisitkö minulle sähköpostia?	 50.16	 203.92	Lähettäisitkö minulle sähköpostia?	Sentences	1279	0	0.94
